# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
rsks-1,day-2 adult,N2,mutant,microarray,GSE52340,"Chen et al., 2013","have double and triple mutant of daf-16, daf-2, rsks-1"
rsks-1,young adult,N2,mutant,microarray,GSE77111,"Hou et al., 2016",
sams-1,mixed of L4 and young adult,N2,RNAi,microarray,GSE70693,"Ding et al., 2015",
sbp-1,mixed of L4 and young adult,N2,RNAi,microarray,GSE70692,"Ding et al., 2015",
set-1,young adult,N2,mutant,RNA-seq,GSE67650,"Kramer et al., 2015",
set-2,young adult,N2,mutant,microarray,GSE61094,"Robert et al., 2014",dissected germline
set-25,young adult,N2,Mutant,RNA-Seq,GSE83528,"Klosin et al., 2017",
set-4,young adult,N2,mutant,RNA-seq,GSE67650,"Kramer et al., 2015",
skn-1,day-1 adult,N2,RNAi,RNA-Seq,GSE63075,"Steinbaugh et al., 2015",
skn-1,L4,N2,mutant,microarray,Supplementary table,"Oliviera et al., 2009",
smg-2,day-1 adult,N2,mutant,RNA-Seq,GSE94077,"Son et al., 2017",
smg-2,day-3 adult,N2,RNAi,microarray,Supplementary table,"Longman et al., 2013",
sun-1,young adult,N2,mutant,RNA-Seq,GSE76773,"Daryabeigi et al., 2016",
tax-6,young adult,N2,RNAi,microarray,GSE77111,"Hou et al., 2016",
tdp-1,young adult,N2,mutant,RNA-Seq,GSE61581,"Saldi et al., 2014",
unc-120,young adult,N2,mutant,microarray,GSE31602,"Steiner et al., 2012",muscle specific
unc-120,young adult,N2,mutant,microarray,GSE31602,"Steiner et al., 2012",
unc-62,day-4 adult,N2,RNAi,RNA-seq,GSE39574,"Nostrand et al., 2013",
vhl-1,young adult,N2,Mutant,RNA-Seq,GSE97355,"Albores et al., 2017",
wdr-5,day-1 adult,N2,mutant,microarray,GSE31043,"Greer et al., 2011",
wdr-5,day-2 adult,N2,mutant,microarray,GSE31043,"Greer et al., 2011",transgenerational
wdr-5.1,young adult,N2,mutant,microarray,GSE61094,"Robert et al., 2014",dissected germline
xbp-1,day-1 adult,N2,mutant,microarray,GSE20148,"Henis-Korenblit et al., 2010",
xpa-1,young adult,N2,mutant,microarray,GSE15159,"Boyd et al., 2010",
y56a3a.19,young adult,N2,RNAi,microarray,GSE9897,"Falk et al., 2008",
zip-2,young adult,N2,RNAi,microarray,GSE50513,"Estes et al., 2010",dys-1,clec-47
dys-1,b0024.4
dys-1,y17d7b.7
dys-1,col-129
dys-1,col-139
dys-1,f53b2.8
dys-1,clec-68
dys-1,clec-67
dys-1,f46a8.1
dys-1,col-81
dys-1,k02e2.6
dys-1,vit-3
dys-1,m60.2
dys-1,y17d7b.4
dys-1,y43c5a.2
dys-1,col-142
dys-1,clec-41
dys-1,y71a12b.7
dys-1,f29g6.3b
dys-1,k04g7.1
dys-1,metr-1
dys-1,y55h10b.1
dys-1,fard-1
dys-1,y54g2a.21
dys-1,lbp-5
dys-1,k06g5.1
dys-1,t16a9.1
dys-1,npp-8
