# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Genotype,Age,Strain,Perturbation type,Data type,Data source,Source,Comments
eat-2,t05a7.7
eat-2,abu-10
eat-2,zc455.1
eat-2,f57a8.6
eat-2,c05e7.1
eat-2,f48f5.6
eat-2,ptr-17
eat-2,t26c5.5
eat-2,flp-33
eat-2,npr-22
eat-2,h03e18.1
eat-2,zc116.1
eat-2,c01g6.9
eat-2,r08e5.1
eat-2,ifc-1
eat-2,clec-72
eat-2,ceh-14
eat-2,f07c3.3
eat-2,phat-2
eat-2,cutl-23
eat-2,c54d2.1
eat-2,c54e4.4
eat-2,y71g12b.2
eat-2,phat-4
eat-2,col-168
eat-2,f36d3.8
eat-2,zk180.5
eat-2,c36b7.5
eat-2,b0334.13
eat-2,y15e3a.4
eat-2,t28b8.3
eat-2,zk353.4
eat-2,unc-49
eat-2,oig-3
eat-2,kin-9
eat-2,col-145
eat-2,f16b3.2
eat-2,y82e9br.21
eat-2,c30f2.3
eat-2,sdz-27
eat-2,r05d7.2
eat-2,f49b2.6
eat-2,y97e10ar.1
eat-2,ceh-48
eat-2,h10e21.4
eat-2,y82e9br.23
eat-2,w06f12.3
eat-2,f14f9.8
eat-2,zk792.4
eat-2,zk757.2
eat-2,best-23
eat-2,f44a2.3
eat-2,f28a12.3
eat-2,col-167
eat-2,c16d9.1
eat-2,ttr-2
eat-2,col-169
eat-2,r12e2.7
eat-2,dsl-7
eat-2,pgp-10
eat-2,tsp-15
eat-2,ncr-2
eat-2,t09f5.1
eat-2,nex-4
eat-2,smf-3
eat-2,lagr-1
eat-2,c05e7.2
eat-2,gst-10
eat-2,nhr-180
eat-2,col-141
eat-2,col-146
eat-2,t01d3.3
eat-2,sta-2
eat-2,c06e1.7
eat-2,f52e1.5
eat-2,f38b7.2
eat-2,cdh-3
eat-2,c44c1.6
eat-2,f32d8.7
eat-2,c08g9.2
eat-2,t26h5.8
eat-2,b0034.1
eat-2,f35b3.4
eat-2,f38h4.3
eat-2,t05e11.2
eat-2,b0393.5
eat-2,inx-18
eat-2,t06a1.1
eat-2,math-35
eat-2,che-12
eat-2,nhr-216
eat-2,col-61
eat-2,f37a8.5
eat-2,d2023.1
eat-2,f08g5.3
eat-2,c49f8.3
eat-2,col-147
eat-2,f53c3.4
eat-2,k06a9.2
eat-2,t04f8.7
eat-2,f26g1.5
eat-2,c15a11.2
eat-2,r07b1.8
eat-2,unc-7
eat-2,r04b3.3
eat-2,nspb-12
eat-2,col-166
eat-2,acr-25
eat-2,f13h8.1
eat-2,col-12
eat-2,col-14
eat-2,unc-46
eat-2,cut-4
eat-2,hum-9
eat-2,y97e10c.1
eat-2,b0478.3
eat-2,c04a11.1
eat-2,tsp-16
eat-2,y87g2a.19
eat-2,pef-1
eat-2,t23b12.5
eat-2,h43e16.1
eat-2,c35a11.2
eat-2,t22b11.3
eat-2,f47b7.7
eat-2,zk863.8
eat-2,zk662.2
eat-2,ced-8
eat-2,t09b4.5
eat-2,zc53.1
eat-2,ceh-51
eat-2,k09e3.7
eat-2,c04a11.2
eat-2,nspb-8
eat-2,clp-6
eat-2,ins-34
eat-2,zk1098.6
eat-2,k07f5.6
eat-2,c04e6.5
eat-2,c04e6.4
eat-2,y43c5b.3
eat-2,zk596.2
eat-2,k08e4.7
eat-2,f55b11.7
eat-2,f26a1.4
eat-2,f26a1.3
eat-2,spe-10
eat-2,b0273.1
eat-2,f32b6.10
eat-2,pfk-1.2
eat-2,k03h1.9
eat-2,b0496.6
eat-2,y41c4a.18
eat-2,c38c6.5
eat-2,y53c12a.8
eat-2,f42a9.3
eat-2,y53f4b.11
eat-2,y62e10a.3
eat-2,f22b5.5
eat-2,b0280.11
eat-2,f25h5.7
eat-2,zk484.7
eat-2,c16c8.22
eat-2,f26d2.10
eat-2,c28a5.6
eat-2,f41h10.2
eat-2,y105c5b.17
eat-2,zk1053.6
eat-2,c53d6.10
eat-2,c17g10.3
eat-2,c35e7.10
eat-2,c26b2.2
eat-2,zc196.4
eat-2,mpz-5
eat-2,y69a2ar.19
eat-2,y69a2ar.14
eat-2,c09d4.9
eat-2,c09d4.3
eat-2,c24a11.1
eat-2,c12d8.9
eat-2,uggt-2
eat-2,y43f8b.12
eat-2,sfxn-1.2
eat-2,t20h4.2
eat-2,ubxn-5
eat-2,acdh-4
eat-2,t10e9.6
eat-2,f28d1.6
eat-2,best-10
eat-2,ceh-62
eat-2,f36h12.4
eat-2,f36h12.3
eat-2,zc581.2
eat-2,acs-10
eat-2,r02d5.7
eat-2,y39e4b.11
eat-2,f53b2.5
eat-2,irld-4
eat-2,htas-1
eat-2,zk1251.3
eat-2,k12b6.2
eat-2,t09a12.1
eat-2,f53g12.8
eat-2,spe-8
eat-2,r10e4.7
eat-2,b0379.7
eat-2,r10e4.3
eat-2,b0379.2
eat-2,clec-153
eat-2,f44d12.6
eat-2,y57a10b.7
eat-2,d1081.12
eat-2,lgc-13
eat-2,zk354.7
eat-2,zk354.8
eat-2,c47e12.12
eat-2,h12d21.5
eat-2,b0261.6
eat-2,h27m09.5
eat-2,math-32
eat-2,oac-19
eat-2,f35e2.9
eat-2,oac-9
eat-2,wbgene00022777
eat-2,y43c5a.4
eat-2,f40g12.10
eat-2,oac-50
eat-2,f34d10.9
eat-2,y37f4.1
eat-2,clec-175
eat-2,c18a3.7
eat-2,fbxa-224
eat-2,f54f12.1
eat-2,c38c10.3
eat-2,f53c3.1
eat-2,f37c12.18
eat-2,c32d5.4
eat-2,k12c11.5
eat-2,f45e4.6
eat-2,b0252.5
eat-2,f36f12.7
eat-2,t15b12.2
eat-2,y37e11b.10
eat-2,f42g8.8
eat-2,f57b9.8
eat-2,k07h8.5
eat-2,c50d2.3
eat-2,c04f12.12
eat-2,c07g1.6
eat-2,f35c11.2
eat-2,c31h1.5
eat-2,y57g11c.6
eat-2,t09f5.10
eat-2,y57g11c.5
eat-2,wht-4
eat-2,wht-5
eat-2,zc155.2
eat-2,spe-11
eat-2,h04j21.1
eat-2,c06a6.7
eat-2,hdl-2
eat-2,c01f6.2
eat-2,y71g12b.27
eat-2,nkb-2
eat-2,t22c1.8
eat-2,c14a6.13
eat-2,t06c10.3
eat-2,kin-26
eat-2,y37d8a.8
eat-2,y37d8a.5
eat-2,r11e3.1
eat-2,c38d9.5
eat-2,spe-12
eat-2,t02e1.6
eat-2,scrm-8
eat-2,w03f8.2
eat-2,c18h2.4
eat-2,rmd-6
eat-2,f38e1.3
eat-2,mpz-3
eat-2,kin-31
eat-2,y47d9a.5
eat-2,zk945.6
eat-2,y55b1ar.4
eat-2,t05c12.9
eat-2,dylt-3
eat-2,t05c12.1
eat-2,hdl-1
eat-2,c15h11.1
eat-2,f55h12.5
eat-2,c31h1.1
eat-2,c27b7.6
eat-2,clec-119
eat-2,c09h10.9
eat-2,b0218.7
eat-2,b0218.5
eat-2,c24d10.1
eat-2,y106g6d.3
eat-2,w01d2.3
eat-2,c25g4.8
eat-2,c10g11.8
eat-2,spe-17
eat-2,y73f8a.20
eat-2,c05c12.5
eat-2,best-26
eat-2,c09b9.4
eat-2,c09b9.7
eat-2,c09b9.2
eat-2,t22d1.8
eat-2,f55a11.11
eat-2,k10c9.7
eat-2,y87g2a.20
eat-2,c50h2.7
eat-2,ssp-33
eat-2,r08a2.1
eat-2,y53c12a.7
eat-2,f56b3.6
eat-2,c26e6.1
eat-2,tag-314
eat-2,c48b6.4
eat-2,c06c3.8
eat-2,d1086.17
eat-2,t03f6.6
eat-2,f23b12.1
eat-2,f42c5.5
eat-2,y73f8a.15
eat-2,w03g1.2
eat-2,wbgene00016515
eat-2,f36a4.3
eat-2,f36a4.2
eat-2,nspd-6
eat-2,c32c4.3
eat-2,t27c10.8
eat-2,c49c8.1
eat-2,r01h2.4
eat-2,f44g3.7
eat-2,c01g12.13
eat-2,t04a8.13
eat-2,c09h5.7
eat-2,m28.4
eat-2,w03d8.2
eat-2,f57f4.1
eat-2,zc581.10
eat-2,f38h4.6
eat-2,f38h4.5
eat-2,zk1053.2
eat-2,b0025.5
eat-2,c10h11.7
eat-2,fbxa-155
eat-2,c18g1.9
eat-2,f59c6.3
eat-2,m05b5.7
eat-2,sdz-3
eat-2,c29f5.3
eat-2,c23g10.1
eat-2,t19d12.5
eat-2,tbx-34
eat-2,zk622.1
eat-2,f13a7.1
eat-2,c14a4.13
eat-2,c34d4.2
eat-2,frk-1
eat-2,f20d6.6
eat-2,f14f7.4
eat-2,r07e5.6
eat-2,f53b6.7
eat-2,r09e10.6
eat-2,f41f3.1
eat-2,t16g12.7
eat-2,c03c10.2
eat-2,zk512.8
eat-2,t22b3.3
eat-2,c53b4.2
eat-2,y106g6h.13
eat-2,b0361.11
eat-2,y38f1a.1
eat-2,y38f1a.7
eat-2,kin-21
eat-2,c45g9.15
eat-2,k09f6.3
eat-2,c01g12.9
eat-2,mpz-6
eat-2,c16c10.13
eat-2,r04b5.11
eat-2,his-70
eat-2,nas-3
eat-2,f54c9.14
eat-2,w02b12.12
eat-2,y54g2a.24
eat-2,f22b3.8
eat-2,c18h7.4
eat-2,c16c8.18
eat-2,c47e8.1
eat-2,cdc-25.4
eat-2,y69e1a.3
eat-2,f09c12.8
eat-2,t02b11.9
eat-2,r02c2.7
eat-2,k05f1.9
eat-2,f59a3.8
eat-2,c14a6.6
eat-2,y71f9al.2
eat-2,c08f8.6
eat-2,b0261.5
eat-2,c50f4.10
eat-2,t10b5.2
eat-2,moa-1
eat-2,c30g7.3
eat-2,f07d3.3
eat-2,math-24
eat-2,irld-8
eat-2,t05b4.14
eat-2,m05b5.1
eat-2,zc250.5
eat-2,ttr-12
eat-2,y18h1a.15
eat-2,t02h6.7
eat-2,rmd-3
eat-2,f14e5.8
eat-2,mboa-4
eat-2,k06h7.8
eat-2,ent-3
eat-2,t21g5.1
eat-2,klp-17
eat-2,c04g2.2
eat-2,wht-8
eat-2,r09e10.1
eat-2,acs-18
eat-2,f56f4.3
eat-2,t04f3.3
eat-2,spe-19
eat-2,d2062.1
eat-2,c33h5.16
eat-2,y116f11b.14
eat-2,kel-10
eat-2,irld-1
eat-2,c17h12.3
eat-2,f13e9.5
eat-2,c28d4.7
eat-2,c17h12.5
eat-2,y37f4.5
eat-2,f27c1.3
eat-2,abt-5
eat-2,irld-3
eat-2,k01h12.4
eat-2,f59a6.4
eat-2,y43f8b.23
eat-2,spe-42
eat-2,f47d12.7
eat-2,nep-23
eat-2,ipla-5
eat-2,r10e8.8
eat-2,c25a8.2
eat-2,y39g10ar.16
eat-2,m02g9.4
eat-2,comp-1
eat-2,m110.7
eat-2,f44g4.5
eat-2,f57c2.4
eat-2,k08f8.5
eat-2,t13f3.8
eat-2,f38a5.6
eat-2,m05d6.3
eat-2,f31e8.5
eat-2,f20d6.1
eat-2,zk1307.4
eat-2,f32b4.2
eat-2,d2024.1
eat-2,c01g5.3
eat-2,zk858.8
eat-2,c01g5.4
eat-2,r03d7.8
eat-2,y50e8a.10
eat-2,y39g8c.2
eat-2,k07e12.2
eat-2,c27d6.11
eat-2,wbgene00019555
eat-2,zk945.7
eat-2,f01g10.5
eat-2,pck-3
eat-2,c03b8.3
eat-2,c17h12.12
eat-2,t17h7.1
eat-2,f59a6.2
eat-2,y39b6a.18
eat-2,ant-1.4
eat-2,m02b1.4
eat-2,c35a5.4
eat-2,c56c10.6
eat-2,c03c11.1
eat-2,ugt-62
eat-2,zk666.8
eat-2,f08a8.8
eat-2,c33f10.12
eat-2,f07e5.8
eat-2,y57g7a.6
eat-2,dhhc-13
eat-2,jmjd-1.1
eat-2,y71g12b.3
eat-2,t28f4.3
eat-2,nep-13
eat-2,zc477.2
eat-2,irld-18
eat-2,y57g11b.3
eat-2,btb-2
eat-2,c41a3.1
eat-2,c47e12.11
eat-2,f59a1.15
eat-2,f25f2.1
eat-2,f59a3.13
eat-2,y62f5a.10
eat-2,c36f7.5
eat-2,f43c9.1
eat-2,t28b8.6
eat-2,f37a4.4
eat-2,f56f3.4
eat-2,c01g10.1
eat-2,spe-26
eat-2,m04g7.2
eat-2,y71g12b.30
eat-2,r102.10
eat-2,c54d10.4
eat-2,y54f10bm.3
eat-2,be10.5
eat-2,be10.1
eat-2,h20j04.1
eat-2,y51a2b.6
eat-2,k04g2.4
eat-2,c09f9.1
eat-2,c54g4.3
eat-2,acp-3
eat-2,fbxa-196
eat-2,h34i24.1
eat-2,f20h11.4
eat-2,f36g9.13
eat-2,ugt-42
eat-2,abt-1
eat-2,d1022.9
eat-2,d1081.3
eat-2,sfxn-1.1
eat-2,chil-25
eat-2,f10d11.3
eat-2,c14c6.2
eat-2,marc-2
eat-2,f36a2.11
eat-2,f36a2.12
eat-2,zk507.3
eat-2,fbxa-59
eat-2,clec-117
eat-2,y37e3.19
eat-2,b0432.11
eat-2,fbxa-202
eat-2,c27d8.2
eat-2,c27d8.1
eat-2,f18c12.4
eat-2,pudl-2
eat-2,t26c12.2
eat-2,w10c8.6
eat-2,r07h5.9
eat-2,y37e11al.12
eat-2,sfxn-1.3
eat-2,f23b2.7
eat-2,c46e10.1
eat-2,c34g6.3
eat-2,y113g7c.1
eat-2,k09g1.2
eat-2,f58e6.5
eat-2,b0207.7
eat-2,b0207.1
eat-2,b0207.9
eat-2,m7.7
eat-2,f36h1.3
eat-2,f54h12.7
eat-2,f54h12.8
eat-2,tag-164
eat-2,scrm-5
eat-2,t05a7.6
eat-2,y47g6a.13
eat-2,zk616.61
eat-2,c29e4.14
eat-2,y53f4b.19
eat-2,k07a3.3
eat-2,marc-1
eat-2,w01b6.2
eat-2,w01b6.6
eat-2,w01b6.5
eat-2,k06a1.2
eat-2,wago-10
eat-2,y53h1c.3
eat-2,w02a2.8
eat-2,y39a1a.2
eat-2,elo-7
eat-2,y51b9a.5
eat-2,w03d8.5
eat-2,f54h5.3
eat-2,f54h5.2
eat-2,fis-1
eat-2,f41g3.5
eat-2,r08a2.2
eat-2,acdh-5
eat-2,best-12
eat-2,k10d2.8
eat-2,c06c6.7
eat-2,r07c3.13
eat-2,f21c3.7
eat-2,f44f1.3
eat-2,c06a1.3
eat-2,c43g2.3
eat-2,dct-9
eat-2,f58d5.7
eat-2,f58f12.3
eat-2,f16g10.5
eat-2,peel-1
eat-2,y116a8c.23
eat-2,w04e12.4
eat-2,h06i04.5
eat-2,f54b3.2
eat-2,f37a8.2
eat-2,c08f11.10
eat-2,wbgene00022080
eat-2,y69a2ar.8
eat-2,y48g1c.5
eat-2,c50f7.3
eat-2,c54g4.2
eat-2,zk856.18
eat-2,f49c12.15
eat-2,rnh-1.1
eat-2,f54d1.1
eat-2,f53f4.18
eat-2,tag-191
eat-2,y53c10a.15
eat-2,h05l14.1
eat-2,r148.7
eat-2,c52e4.7
eat-2,f46f5.7
eat-2,c25a8.5
eat-2,t25b9.6
eat-2,zk892.3
eat-2,f56a11.6
eat-2,scrm-7
eat-2,c15h7.3
eat-2,y105e8a.27
eat-2,f49e11.7
eat-2,y59e9al.8
eat-2,f30a10.12
eat-2,f56d6.13
eat-2,f40e12.2
eat-2,wht-6
eat-2,cpb-2
eat-2,zc477.10
eat-2,f40f12.3
eat-2,zk688.12
eat-2,zk688.10
eat-2,r08c7.8
eat-2,y18d10a.21
eat-2,ins-11
eat-2,c02f5.5
eat-2,c40c9.3
eat-2,spp-3
eat-2,t09e11.11
eat-2,w09c3.8
eat-2,oac-52
eat-2,f56h1.3
eat-2,col-13
eat-2,t04c12.7
eat-2,col-137
eat-2,col-143
eat-2,cyp-33c8
eat-2,clec-227
eat-2,col-88
eat-2,f44e7.2
eat-2,c10g8.4
eat-2,col-60
eat-2,f16c3.2
eat-2,asah-1
eat-2,spp-8
eat-2,f36a2.10
eat-2,fbxa-182
eat-2,math-45
eat-2,b0524.5
eat-2,bath-47
eat-2,f49f1.5
eat-2,fipr-10
eat-2,col-90
eat-2,y38h6c.23
eat-2,set-20
eat-2,c25f9.11
eat-2,abu-15
eat-2,pqn-54
eat-2,fipr-11
eat-2,fipr-3
eat-2,t06e4.12
eat-2,aat-2
eat-2,k08d10.14
eat-2,fipr-7
eat-2,f53f1.4
eat-2,k08d8.11
eat-2,cysl-2
eat-2,lipl-3
eat-2,y51h4a.5
eat-2,rhy-1
eat-2,srd-14
eat-2,dhc-3
eat-2,y50e8a.5
eat-2,y8a9a.2
eat-2,k08d8.7
eat-2,spp-2
eat-2,f18e3.12
eat-2,c35e7.3
eat-2,y49e10.16
eat-2,pqn-60
eat-2,c50d2.6
eat-2,clp-3
eat-2,w03c9.1
eat-2,r06c1.4
eat-2,t20b3.1
eat-2,y45f10c.4
eat-2,y75b8a.3
eat-2,nlp-34
eat-2,y73c8b.1
eat-2,f07g6.10
eat-2,nhr-156
eat-2,c52a10.3
eat-2,c52e2.5
eat-2,e02h9.2
eat-2,f13h8.12
eat-2,f53a9.7
eat-2,k07f5.8
eat-2,r11e3.2
eat-2,t09f5.12
eat-2,ssp-37
eat-2,fkb-8
eat-2,y50e8a.12
eat-2,zk546.3
eat-2,fbxc-43
eat-2,c45g9.12
eat-2,f18e3.13
eat-2,f25h5.2
eat-2,f41g3.18
eat-2,clec-260
eat-2,f48g7.5
eat-2,y18d10a.22
eat-2,c54d10.14
eat-2,tts-1
eat-2,y34f4.1
eat-2,cyp-33c3
eat-2,zk930.2
eat-2,r11h6.4
eat-2,nspe-2
eat-2,f11c1.5
eat-2,y47g6a.19
eat-2,egl-1
eat-2,c41g7.8
eat-2,zk1290.14
eat-2,t04c12.8
eat-2,c54g10.4
eat-2,c07a4.3
eat-2,nhr-232
eat-2,vamp-8
eat-2,gadr-3
eat-2,y87g2a.16
eat-2,ceh-86
eat-2,t27a1.2
eat-2,f28a10.3
eat-2,gmeb-3
eat-2,c45b2.8
eat-2,f36h12.5
eat-2,f18a1.1
eat-2,r12e2.15
eat-2,c05d9.9
eat-2,cpr-6
eat-2,zk1128.7
eat-2,pqm-1
eat-2,f41f3.3
eat-2,fln-2
eat-2,t05a12.4
eat-2,zk813.3
eat-2,r02e4.3
eat-2,f58f12.4
eat-2,vit-2
eat-2,zk813.7
eat-2,zc250.4
eat-2,r08e5.3
eat-2,f46c3.6
eat-2,lon-1
eat-2,gcy-22
eat-2,y51h4a.25
eat-2,spp-10
eat-2,ttr-32
eat-2,ttr-33
eat-2,t23f4.2
eat-2,k09e2.2
eat-2,f23a7.4
eat-2,f52f12.8
eat-2,r105.1
eat-2,f21d9.2
eat-2,f23c8.7
eat-2,t16g1.13
eat-2,zk849.1
eat-2,c01g6.2
eat-2,c28c12.11
eat-2,f29b9.7
eat-2,cbs-2
eat-2,w04e12.5
eat-2,r10e9.2
eat-2,zk849.6
eat-2,c18h7.7
eat-2,t09b4.3
eat-2,spe-46
eat-2,zc412.5
eat-2,f37a8.1
eat-2,c33c12.4
eat-2,f28h1.5
eat-2,y67d8b.5
eat-2,c55c3.8
eat-2,k07a1.4
eat-2,y69a2ar.23
eat-2,y106g6g.1
eat-2,zk892.5
eat-2,y49f6b.8
eat-2,spe-4
eat-2,y66d12a.11
eat-2,zk616.8
eat-2,y51a2b.4
eat-2,y39b6a.25
eat-2,c47a4.3
eat-2,f21a3.4
eat-2,y40h4a.2
eat-2,f35h8.1
eat-2,y105c5b.18
eat-2,y1a5a.1
eat-2,t27f6.1
eat-2,nhr-284
eat-2,zc190.7
eat-2,f09f7.4
eat-2,oac-54
eat-2,d2062.5
eat-2,c44b9.2
eat-2,t20f5.5
eat-2,c04f12.6
eat-2,y95b8a.4
eat-2,f43d2.7
eat-2,y37f4.8
eat-2,c02g6.2
eat-2,f55c5.2
eat-2,h37a05.4
eat-2,k09f6.6
eat-2,f35e12.4
eat-2,f47h4.12
eat-2,best-25
eat-2,t11f8.4
eat-2,t14g10.8
eat-2,c18d4.4
eat-2,c05b5.2
eat-2,f27e5.3
eat-2,msp-71
eat-2,r13g10.4
eat-2,cnp-2
eat-2,w01b11.1
eat-2,w05b2.7
eat-2,zk546.7
eat-2,zk783.6
eat-2,spe-47
eat-2,fipr-5
eat-2,y59h11ar.6
eat-2,c04e6.8
eat-2,c25g6.3
eat-2,gcy-5
eat-2,t28a11.6
eat-2,zk384.4
eat-2,w02b8.2
eat-2,y119c1b.1
eat-2,f11g11.4
eat-2,k08c9.1
eat-2,c15f1.5
eat-2,c38c3.3
eat-2,fbxa-193
eat-2,y67d8b.3
eat-2,gst-21
eat-2,snt-2
eat-2,c55c3.7
eat-2,y110a7a.2
eat-2,c31b8.4
eat-2,c36e6.8
eat-2,eat-5
eat-2,csp-2
eat-2,f28a10.4
eat-2,t11a5.6
eat-2,nlp-41
eat-2,math-20
eat-2,b0310.6
eat-2,wht-3
eat-2,f35e2.10
eat-2,fbxb-36
eat-2,srp-10
eat-2,c18h2.3
eat-2,c47e12.10
eat-2,dhs-25
eat-2,clec-155
eat-2,y18h1a.1
eat-2,c06c6.6
eat-2,f21f8.5
eat-2,f22d3.4
eat-2,zk973.4
eat-2,zk945.8
eat-2,zc373.3
eat-2,y70c5c.1
eat-2,clec-236
eat-2,t28h10.2
eat-2,c08f11.14
eat-2,basl-2
eat-2,fbxa-218
eat-2,zc190.8
eat-2,zk262.4
eat-2,f15h9.1
eat-2,k05f6.10
eat-2,t08h10.3
eat-2,zc116.5
eat-2,t28c6.5
eat-2,k06a5.3
eat-2,t08g3.4
eat-2,clec-154
eat-2,y39e4a.1
eat-2,f43g9.8
eat-2,y4c6a.1
eat-2,y54e2a.5
eat-2,y54e2a.7
eat-2,y52d5a.2
eat-2,k03h9.3
eat-2,y40b10a.4
eat-2,zk1307.2
eat-2,zk1307.3
eat-2,wht-9
eat-2,w04b5.1
eat-2,k09d9.11
eat-2,paf-1
eat-2,f10e9.2
eat-2,fbxa-201
eat-2,f10d11.5
eat-2,clec-152
eat-2,glna-3
eat-2,f36d4.1
eat-2,r06b10.2
eat-2,y51b9a.7
eat-2,t22a3.6
eat-2,c35d10.3
eat-2,c25h3.1
eat-2,nep-18
eat-2,t15h9.5
eat-2,f46a8.6
eat-2,f59e12.3
eat-2,chil-14
eat-2,y46h3d.1
eat-2,c26e1.2
eat-2,y38f2ar.10
eat-2,zk1251.5
eat-2,f46f5.11
eat-2,b0457.3
eat-2,snf-4
eat-2,t15h9.4
eat-2,b0041.1
eat-2,y75b7b.1
eat-2,nas-21
eat-2,t28d9.9
eat-2,t16a1.2
eat-2,try-7
eat-2,nep-6
eat-2,f58d5.6
eat-2,r07b7.4
eat-2,fbxa-223
eat-2,t13a10.1
eat-2,t21e12.5
eat-2,f01d4.3
eat-2,f49f1.12
eat-2,m176.9
eat-2,k09c6.2
eat-2,y39g10ar.15
eat-2,t22b11.1
eat-2,nep-20
eat-2,srr-2
eat-2,y116f11b.7
eat-2,f11d11.4
eat-2,c06a5.2
eat-2,f35f11.2
eat-2,y16e11a.2
eat-2,r09e10.4
eat-2,f44f1.1
eat-2,zk250.9
eat-2,y59h11am.4
eat-2,f59h6.5
eat-2,col-49
eat-2,r02e4.1
eat-2,r03g8.4
eat-2,r102.7
eat-2,k03h6.4
eat-2,clec-45
eat-2,k08d10.5
eat-2,math-47
eat-2,hasp-2
eat-2,d1065.3
eat-2,y46b2a.2
eat-2,arrd-21
eat-2,y71a12c.2
eat-2,y45f10b.2
eat-2,nhr-266
eat-2,fbxa-153
eat-2,f33d11.8
eat-2,t20b6.2
eat-2,t20b6.1
eat-2,w07e6.3
eat-2,fbxa-39
eat-2,m163.1
eat-2,wbgene00016272
eat-2,oac-22
eat-2,f37c4.8
eat-2,t08e11.1
eat-2,zk1240.1
eat-2,clec-70
eat-2,spe-9
eat-2,k12d12.4
eat-2,b0310.3
eat-2,y7a9c.1
eat-2,fbxa-166
eat-2,f53f4.8
eat-2,ctn-1
eat-2,f46f2.5
eat-2,f40f12.9
eat-2,fbxa-138
eat-2,ncx-10
eat-2,c28f5.4
eat-2,r155.4
eat-2,y71a12b.23
eat-2,k08h10.5
eat-2,f46f5.1
eat-2,f38b2.6
eat-2,y94h6a.2
eat-2,y39f10c.1
eat-2,c04f12.16
eat-2,f15d3.4
eat-2,h12i13.1
eat-2,t10c6.15
eat-2,f40f12.8
eat-2,c49c3.2
eat-2,c40h1.8
eat-2,c54c6.11
eat-2,c47e8.10
eat-2,e02h4.5
eat-2,t03f6.8
eat-2,c10c5.7
eat-2,nhr-99
eat-2,y43f8b.15
eat-2,fbxa-219
eat-2,y50e8a.6
eat-2,21ur-9599
eat-2,r09d1.9
eat-2,y37f4.7
eat-2,c56g7.2
eat-2,b0416.11
eat-2,f52h2.3
eat-2,d1081.10
eat-2,y37e11ar.7
eat-2,f56d6.16
eat-2,f56d6.17
eat-2,fbxa-61
eat-2,zk892.4
eat-2,t24c12.1
eat-2,y41e3.18
eat-2,w03d8.1
eat-2,fbxa-87
eat-2,y36e3a.2
eat-2,h10d12.2
eat-2,y105c5b.3
eat-2,k06a4.8
eat-2,c43c3.4
eat-2,y43f8b.24
eat-2,hpo-30
eat-2,sfxn-1.4
eat-2,t21d12.14
eat-2,f10g7.12
eat-2,f35e2.3
eat-2,ugt-34
eat-2,mtce.7
eat-2,c08g5.3
eat-2,w01a8.10
eat-2,r11h6.7
eat-2,k02f6.3
eat-2,t20h9.6
eat-2,f23f12.13
eat-2,f26f2.10
eat-2,c04g2.3
eat-2,snf-8
eat-2,abt-3
eat-2,best-6
eat-2,nhr-19
eat-2,msp-42
eat-2,t25g12.13
eat-2,f57g9.6
eat-2,m04c3.5
eat-2,y53f4b.45
eat-2,asp-11
eat-2,gln-4
eat-2,f56d6.14
eat-2,f13h6.5
eat-2,m05b5.3
eat-2,c18e3.1
eat-2,y66a7a.9
eat-2,k04c2.8
eat-2,nep-19
eat-2,f31e9.11
eat-2,f53h2.1
eat-2,clec-46
eat-2,f17e9.3
nhr-62,nduo-5
nhr-62,col-162
nhr-62,y47d7a.13
nhr-62,hsp-70
nhr-62,f35f10.5
nhr-62,clec-145
nhr-62,c23g10.6
nhr-62,zk105.1
nhr-62,y38e10a.17
nhr-62,t28a11.16
nhr-62,c08f11.7
nhr-62,fbxa-192
nhr-62,asp-8
nhr-62,col-135
nhr-62,fbxa-191
nhr-62,clec-52
nhr-62,f23f12.12
nhr-62,y45f10d.6
nhr-62,f19c7.1
nhr-62,col-73
nhr-62,dpy-4
nhr-62,f18e3.11
nhr-62,zk1290.5
nhr-62,dgat-2
nhr-62,c18e9.8
nhr-62,c07g1.7
nhr-62,asp-12
nhr-62,acp-2
nhr-62,t13f2.6
nhr-62,grl-16
nhr-62,col-97
nhr-62,col-71
nhr-62,dpy-13
nhr-62,dpy-5
nhr-62,cyp-29a3
nhr-62,col-14
nhr-62,col-88
nhr-62,sna-2
nhr-62,jmjc-1
nhr-62,f18e3.12
nhr-62,c55c3.3
nhr-62,f18e3.13
nhr-62,col-63
nhr-62,c08f11.6
nhr-62,col-138
nhr-62,y40h4a.2
nhr-62,fbxa-129
nhr-62,fbxa-193
nhr-62,f25e5.1
nhr-62,c55c3.7
nhr-62,ugt-19
nhr-62,col-175
nhr-62,crml-1
nhr-62,b0250.3
emr-1,vit-3
emr-1,m60.2
emr-1,nrfl-1
emr-1,nlp-29
emr-1,unc-89
emr-1,lsy-2
emr-1,c05b5.8
emr-1,clec-79
emr-1,ram-2
emr-1,y43f8c.5
emr-1,mpz-4
emr-1,sst-20
emr-1,zc434.9
emr-1,zc477.7
emr-1,ttr-14
emr-1,y69e1a.1
emr-1,r07e5.15
emr-1,nlp-25
emr-1,f47b3.2
emr-1,c36h8.1
emr-1,e03h12.7
emr-1,col-149
emr-1,c45b2.2
emr-1,c42d4.3
emr-1,grl-21
emr-1,t02e1.7
emr-1,gst-4
emr-1,ptr-20
emr-1,ins-35
emr-1,c26b9.3
emr-1,sip-1
emr-1,f10d11.6
